"astro-ph/9907131","Bruce Cleveland","SAGE Collaboration","Measurement of the solar neutrino capture rate by SAGE and implications
  for neutrino oscillations in vacuum","4 pages including 3 figures, Revtex, minor content changes, Phys.
  Rev. Lett. (in press)","Phys.Rev.Lett.83:4686-4689,1999","10.1103/PhysRevLett.83.4686",,"astro-ph hep-ex hep-ph nucl-ex",,"  The Russian-American solar neutrino experiment has measured the capture rate
of neutrinos on metallic gallium in a radiochemical experiment at the Baksan
Neutrino Observatory. Eight years of measurement give the result 67.2
(+7.2,-7.0) (+3.5,-3.0) solar neutrino units, where the uncertainties are
statistical and systematic, respectively. The restrictions these results impose
on vacuum neutrino oscillation parameters are given.
","[{""version"":""v1"",""created"":""Sun, 11 Jul 1999 02:31:23 GMT""},{""version"":""v2"",""created"":""Thu, 11 Nov 1999 02:05:30 GMT""}]","2012-08-27"
"astro-ph/9907132","Renxin Xu","R. X. Xu (1, and 2), G. J,.Qiao (4, 1 and 2), Bing Zhang (3) ((1)
  Beijing Astronomical Observatory and National Astronomical Observatories,
  CAS, Beijing, P.R.China, (2) CAS-PKU Beijing Astrophysics Center and
  Astronomy Department, Peking University (PKU), Beijing, P.R.China, (3)
  Laboratory of High Energy Astrophysics, NASA Goddard Space Flight Center.,
  National Research Council Research Associate, (4) CCAST (World Laboratory),
  Beijing, P. R.China)","PSR 0943+10: a bare strange star?","4 pages, no figures, LaTeX, accepted 1999 July 9 by ApJ Letters",,"10.1086/312226",,"astro-ph",,"  Recent work by Rankin & Deshpande strongly suggests that there exist strong
``micro-storms'' rotating around the magnetic axis of the 1.1s pulsar PSR
0943+10. Such a feature hints that most probably the large-voltage vacuum gap
proposed by Ruderman & Sutherland (RS) does exist in the pulsar polar cap.
However, there are severe arguments against the formation of the RS-type gap in
pulsars, since the binding energies of both the Fe ions and the electrons in a
neutron star's surface layer is too small to prevent thermionic ejection of the
particles from the surface. Here we propose that PSR 0943+10 (probably also
most of the other ``drifting'' pulsars) might be bare strange stars rather than
normal neutron stars, in which the ``binding energy'' at the surface is merely
infinity either for the case of ``pulsar'' or ``anti-pulsar''. It is further
proposed that identifying a drifting pulsar as an anti-pulsar is the key
criterion to distinguish strange stars from neutron stars.
","[{""version"":""v1"",""created"":""Sun, 11 Jul 1999 07:29:56 GMT""},{""version"":""v2"",""created"":""Tue, 13 Jul 1999 03:30:54 GMT""}]","2009-10-31"
"astro-ph/9907133","Dmitri Khokhlov","D.L. Khokhlov","The extra high energy cosmic rays spectrum in view of the decay of
  proton at the Planck scale","2 pages, LaTeX",,,,"astro-ph",,"  The structure of the extra high energy cosmic rays spectrum in view of the
decay of proton is considered. The time required for proton travel from the
source to the earth defines the limiting energy of proton. Protons with the
energies more than the limiting energy decay and do not give contribution in
the EHECRs spectrum. It is assumed that proton decays at the Planck scale.
Depending on the range of distances to the EHECRs sources, the range of the
limiting energies of proton is determined. This allows one to explain the
structure of the EHECRs spectrum.
","[{""version"":""v1"",""created"":""Sun, 11 Jul 1999 12:38:37 GMT""}]","2007-05-23"
"astro-ph/9907134","Yannick Mellier","T. Erben (1), L. van Waerbeke (2,1), Y. Mellier (3,6), P. Schneider
  (1), J.-C. Cuillandre (4), F. J. Castander (5) and M. Dantel-Fort (6) ((1)
  MPA; (2) CITA; (3) IAP; (4) OMP; (5) CFHT; (6) OP-DEMIRM)","Mass-detection of a matter concentration projected near the cluster
  Abell 1942: Dark clump or high-redshift cluster?","Sumitted to A&A Main Journal. 15 pages, 11 figures. 75 Kb gzipped tar
  file. Figures with images not included, but available on ftp.iap.fr
  /pub/from_users/mellier/A1942: a1942darkclump.ps.gz (2.1 Mb)",,,,"astro-ph",,"  A weak-lensing analysis of wide-field $V$- and $I$-band images centered on
the cluster Abell 1942 has uncovered a mass concentration $\sim 7$ arcminutes
South of the cluster center. A statistical analysis shows that the detections
are highly significant. No strong concentration of bright galaxies is seen at
the position of the mass concentration, though a slight galaxy number
overdensity and a weak extended X-ray source are present about 1' away from its
center.
  From the spatial dependence of the tangential alignment around the center of
the mass concentration, we inferred a lower bound on the mass inside a sphere
of radius $0.5 h^{-1}$\ts Mpc of $1\times 10^{14}h^{-1}M_\odot$, much higher
than crude mass estimates based on X-ray data. No firm conclusion can be
inferred about the nature of the clump. If it were a high-redshift cluster, the
weak X-ray flux would indicate that it had an untypically low X-ray luminosity
for its mass; if the X-ray emission were physically unrelated to the mass
concentration, this conclusion would be even stronger.
  The search for massive halos by weak lensing enables us for the first time to
select halos based on their mass properties only and to detect new types of
objects, e.g., dark halos. The mass concentration in the field of A1942 may be
the first example of such a halo.
","[{""version"":""v1"",""created"":""Sun, 11 Jul 1999 14:13:57 GMT""}]","2007-05-23"
"cond-mat/9907154","Michael N. Leuenberger","Michael N. Leuenberger, Daniel Loss (Basel, Switzerland)","Spin Tunneling and Phonon-assisted Relaxation in Mn12-acetate","18 pages, 22 EPS figures, REVTeX","Phys. Rev. B 61, 1286 (2000)","10.1103/PhysRevB.61.1286",,"cond-mat.mes-hall",,"  We present a comprehensive theory of the magnetization relaxation in a
Mn12-acetate crystal in the high-temperature regime (T>1 K), which is based on
phonon-assisted spin tunneling induced by quartic magnetic anisotropy and weak
transverse magnetic fields. The overall relaxation rate as function of the
longitudinal magnetic field is calculated and shown to agree well with
experimental data including all resonance peaks measured so far. The Lorentzian
shape of the resonances, which we obtain via a generalized master equation that
includes spin tunneling, is also in good agreement with recent data. We derive
a general formula for the tunnel splitting energy of these resonances. We show
that fourth-order diagonal terms in the Hamiltonian lead to satellite peaks. A
derivation of the effective linewidth of a resonance peak is given and shown to
agree well with experimental data. In addition, previously unknown spin-phonon
coupling constants are calculated explicitly. The values obtained for these
constants and for the sound velocity are also in good agreement with recent
data. We show that the spin relaxation in Mn12-acetate takes place via several
transition paths of comparable weight. These transition paths are expressed in
terms of intermediate relaxation times, which are calculated and which can be
tested experimentally.
","[{""version"":""v1"",""created"":""Sat, 10 Jul 1999 18:27:27 GMT""},{""version"":""v2"",""created"":""Tue, 23 Nov 1999 17:34:06 GMT""}]","2009-10-31"
"cond-mat/9907155","Nariya Uchida","Nariya Uchida","Elastic Effects in Disordered Nematic Networks","5 pages, 5 figures","Phys. Rev. E 60 (1999) R13-R16","10.1103/PhysRevE.60.R13",,"cond-mat.soft cond-mat.dis-nn",,"  Elastic effects in a model of disordered nematic elastomers are numerically
investigated in two dimensions. Networks crosslinked in the isotropic phase
exhibit unusual soft mechanical response against stretching. It arises from
gradual alignment of orientationally correlated regions that are elongated
along the director. A sharp crossover to a macroscopically aligned state is
obtained on further stretching. The effect of random internal stress is also
discussed.
","[{""version"":""v1"",""created"":""Sun, 11 Jul 1999 08:11:39 GMT""}]","2009-10-31"
"cond-mat/9907158","Arindam Ghosh","Arindam Ghosh and A.K. Raychaudhuri","Universal conductance fluctuations in three dimensional metallic single
  crystals of Si","Text revised version. 4 eps figs unchanged",,"10.1103/PhysRevLett.84.4681",,"cond-mat.dis-nn",,"  In this paper we report the measurement of conductance fluctuations in single
crystals of Si made metallic by heavy doping (n \approx 2-2.5n_c, n_c being
critical composition at Metal-Insulator transition). Since all dimensions (L)
of the samples are much larger than the electron phase coherent length L_\phi
(L/L_\phi \sim 10^3), our system is truly three dimensional. Temperature and
magnetic field dependence of noise strongly indicate the universal conductance
fluctuations (UCF) as predominant source of the observed magnitude of noise.
Conductance fluctuations within a single phase coherent region of L_\phi^3 was
found to be saturated at <(\delta G_\phi)^2> \approx (e^2/h)^2. An accurate
knowledge of the level of disorder, enables us to calculate the change in
conductance \delta G_1 due to movement of a single scatterer as \delta G_1 \sim
e^2/h, which is \sim 2 orders of magnitude higher than its theoretically
expected value in 3D systems.
","[{""version"":""v1"",""created"":""Sat, 10 Jul 1999 17:27:43 GMT""},{""version"":""v2"",""created"":""Mon, 11 Oct 1999 07:30:21 GMT""}]","2009-10-31"
"cond-mat/9907159","August Yurgens","A.Yurgens, D.Winkler, T.Claeson (Chalmers University of Technology,
  Sweden) Seong-Ju Hwang and Jin-Ho Choy (Department of Chemistry, Seoul
  National University,Korea)","Pseudo-gap features of intrinsic tunneling in (HgBr_2)-Bi2212 single
  crystals","6 pages, 5 figures; presented at the Second Int Conf. New3Sc-1999
  (Las Vegas, NV)","Int. J. Mod. Phys. B 13, 3758-63 (1999).","10.1142/S0217979299003878",,"cond-mat.supr-con",,"  The c-axis tunneling properties of both pristine Bi2212 and its HgBr$_2$
intercalate have been measured in the temperature range 4.2 - 250 K.
Lithographically patterned 7-10 unit-cell heigh mesa structures on the surfaces
of these single crystals were investigated. Clear SIS-like tunneling curves for
current applied in the $\it c$-axis direction have been observed. The dynamic
conductance d$I/$d$V(V)$ shows both sharp peaks corresponding to a
superconducting gap edge and a dip feature beyond the gap, followed by a wide
maximum, which persists up to a room temperature. Shape of the temperature
dependence of the {\it c}-axis resistance does not change after the
intercalation suggesting that a coupling between $\rm CuO_2$-bilayers has
little effect on the pseudogap.
","[{""version"":""v1"",""created"":""Sat, 10 Jul 1999 22:19:13 GMT""}]","2015-06-25"
"cond-mat/9907160","Paul Steinhardt","E. Abe, K. Saitoh, H. Takakura, A.P. Tsai, P.J. Steinhardt and H.-C.
  Jeong","A quasi-unit cell model for Al-Ni-Co Ideal Quasicrystal based on
  clusters with broken 10-fold symmetry","4 pages, 4 eps figures, use epsfig.sty and revtex revised text and
  figures",,"10.1103/PhysRevLett.84.4609",,"cond-mat",,"  We present new evidence supporting the quasi-unit cell description of the
$Al_{72}Ni_{20}Co_{8}$ decagonal quasicrystal which shows that the solid is
composed of repeating, overlapping decagonal cluster columns with broken
10-fold symmetry. We propose an atomic model which gives a significantly
improved fit to electron microscopy experiments compared to a previous proposal
by us and to alternative proposals with 10-fold symmetric clusters.
","[{""version"":""v1"",""created"":""Sun, 11 Jul 1999 01:52:03 GMT""},{""version"":""v2"",""created"":""Wed, 6 Oct 1999 13:51:38 GMT""}]","2009-10-31"
"cond-mat/9907161","Amaral","V. Plerou, P. Gopikrishnan, L.A.N. Amaral, M. Meyer and H.E. Stanley
  (Boston University)","Scaling of the distribution of price fluctuations of individual
  companies","10pages 2 column format with 11 eps figures. LaTeX file requiring
  epsf, multicol,revtex. Submitted to PRE",,"10.1103/PhysRevE.60.6519",,"cond-mat.stat-mech q-fin.ST",,"  We present a phenomenological study of stock price fluctuations of individual
companies. We systematically analyze two different databases covering
securities from the three major US stock markets: (a) the New York Stock
Exchange, (b) the American Stock Exchange, and (c) the National Association of
Securities Dealers Automated Quotation stock market. Specifically, we consider
(i) the trades and quotes database, for which we analyze 40 million records for
1000 US companies for the 2-year period 1994--95, and (ii) the Center for
Research and Security Prices database, for which we analyze 35 million daily
records for approximately 16,000 companies in the 35-year period 1962--96. We
study the probability distribution of returns over varying time scales $\Delta
t$, where $\Delta t$ varies by a factor of $\approx 10^5$---from 5 min up to
$\approx$ 4 years. For time scales from 5~min up to approximately 16~days, we
find that the tails of the distributions can be well described by a power-law
decay, characterized by an exponent $\alpha \approx 3$ ---well outside the
stable L\'evy regime $0 < \alpha < 2$. For time scales $\Delta t \gg (\Delta
t)_{\times} \approx 16 $days, we observe results consistent with a slow
convergence to Gaussian behavior. We also analyze the role of cross
correlations between the returns of different companies and relate these
correlations to the distribution of returns for market indices.
","[{""version"":""v1"",""created"":""Sun, 11 Jul 1999 03:43:43 GMT""}]","2009-10-31"
