"astro-ph/9905293","Jose A. Munoz","J. A. Munoz, C. S. Kochanek and E. E. Falco","Finding Gravitational Lenses With X-rays","13 pages, including 5 figures, submitted to ApJ Letters",,"10.1086/312184",,"astro-ph",,"  There are $\sim 1$, 0.1 and 0.01 gravitationally lensed X-ray sources per
square degree with soft X-ray fluxes exceeding $10^{-15}, 10^{-14}$ and
$10^{-13} ergs/s cm^{-2}$ respectively. These sources will be detected
serendipitously with the Chandra X-ray Observatory at a rate of 1--3 lenses per
year of high resolution imaging. The low detection rate is due to the small
area over which the HRC and ACIS cameras have the $<1\farcs5$ FWHM resolution
necessary to find gravitational lenses produced by galaxies. Deep images of
rich clusters at intermediate redshifts should yield one wide separation
($\Delta\theta \gtorder 5\farcs0$) multiply-imaged background X-ray source for
every $\sim 10$, 30 and 300 clusters imaged to the same flux limits.
","[{""version"":""v1"",""created"":""Sat, 22 May 1999 20:29:06 GMT""}]","2009-10-31"
"astro-ph/9905294","Victor G. Zubko","Victor G. Zubko, Ari Laor (Physics Dept., Technion, Haifa, Israel)","The Spectral Signature of Dust Scattering and Polarization in the Near
  IR to Far UV. I. Optical Depth and Geometry Effects","29 pages + 21 figures, accepted for the Astrophysical Journal
  Supplement February 2000 issue. Some revision, mostly in the introduction and
  the conclusions, and a couple of corrections",,"10.1086/313373",,"astro-ph",,"  Spectropolarimetry from the near IR to the far UV of light scattered by dust
provides a valuable diagnostic of the dust composition, grain size distribution
and spatial distribution. To facilitate the use of this diagnostic, we present
detailed calculations of the intensity and polarization spectral signature of
light scattered by optically thin and optically thick dust in various
geometries. The polarized light radiative transfer calculations are carried out
using the adding-doubling method for a plane-parallel slab, and are extended to
an optically thick sphere by integrating over its surface. The calculations are
for the Mathis, Rumple & Nordsieck Galactic dust model, and cover the range
from 1 $\mu m$ to 500 \AA. We find that the wavelength dependence of the
scattered light intensity provides a sensitive probe of the optical depth of
the scattering medium, while the polarization wavelength dependence provides a
probe of the grain scattering properties, which is practically independent of
optical depth. We provide a detailed set of predictions, including polarization
maps, which can be used to probe the properties of dust through imaging
spectropolarimetry in the near IR to far UV of various Galactic and
extragalactic objects. In a following paper we use the codes developed here to
provide predictions for the dependence of the intensity and polarization on
grain size distribution and composition.
","[{""version"":""v1"",""created"":""Sun, 23 May 1999 11:43:03 GMT""},{""version"":""v2"",""created"":""Tue, 21 Sep 1999 08:15:26 GMT""}]","2009-10-31"
"astro-ph/9905295","Dr. Elhanan Almoznino","N. Brosch, E. Almoznino (The Wise Observatory and the School of
  Physics and Astronomy, Tel Aviv University), B. Wszolek, K. Rudnicki
  (Jagiellonian University Astronomical Observatory, Krakow, Poland)","The Nature of a Dusty Ring in Virgo","In press at MNRAS, Figures corrected",,"10.1046/j.1365-8711.1999.02817.x",,"astro-ph",,"  We detected a ring-like distribution of far-infrared emission in the
direction of the center of the Virgo cluster. We studied this feature in the
FIR, radio, and optical domains, and deduced that the dust within the feature
reddens the galaxies in the direction of the Virgo cluster but does not affect
stars within the Milky Way. This is likely to be a dusty feature in the
foreground of the Virgo cluster, presumably in the galactic halo. The HI
distribution follows the morphology of the FIR emission and shows peculiar
kinematicbehavior. We propose that a highly supersonic past collision between
an HI cloud and the Galactic HI formed a shock that heated the interface gas to
soft X-ray temperatures. HI remnants from the projectile and from the shocked
Galactic HI rain down onto the disk as intermediate velocity gas.
  Our finding emphasizes that extragalactic astronomy must consider the
possibility ofextinction by dust at high Galactic latitude and far from the
Galactic plane, which may show structure on one-degree and smaller scales. This
is particularly important for studies of the Virgo cluster, for example in the
determination of the Hubble constant from Cepheids in cluster galaxies.
","[{""version"":""v1"",""created"":""Sun, 23 May 1999 13:19:08 GMT""},{""version"":""v2"",""created"":""Tue, 25 May 1999 08:26:06 GMT""}]","2009-10-31"
"astro-ph/9905296","Leonardo Testi","Leonardo Testi (Arcetri/Caltech), Marcello Felli (Arcetri), Gregory B.
  Taylor (NRAO)","Young massive stars in the ISOGAL survey I. VLA observations of the
  ISOGAL l=+45 field","15 pages, 22 eps figures, A&A Supp. in press, higher resolution
  figures available at http://www.arcetri.astro.it/~lt/preprints/preprints.html",,"10.1051/aas:1999498",,"astro-ph",,"  We present VLA radio continuum observations at 3.6 and 6 cm of a ~0.65
sq.deg. field in the galactic plane at l=+45deg . These observations are meant
to be used in a comparison with ISO observations at 7 and 15 um of the same
region. In this paper we compare the radio results with other radio surveys and
with the IRAS-PSC.
  At 3.6 and/or 6 cm we detect a total of 34 discrete sources, 13 of which are
found in five separate extended complexes. These are all multiple or single
extended thermal ultra-compact HII (UCHII) regions. While for each of these
complexes an IRAS counterpart could be reliably found, no IRAS counterpart
could be reliably identified for any of the remaining 21 sources. Of these 21
compact sources, six are candidate UCHII regions, and the other 15 are most
probably background extragalactic non-thermal sources.
  The five IRAS sources associated with the radio continuum complexes all
satisfy the Wood & Churchwell (1989; WC89) color criteria for UCHII. None of
the other 38 IRAS point sources present in our surveyed field show the same
colors. This fraction of WC89 type to total IRAS sources is consistent with
what is found over the entire galactic plane. The fact that, when observed with
a compact VLA configuration, the IRAS sources with ""UCHII colors"" are found to
be associated with arcminute-scale extended sources, rather than with compact
or unresolved radio sources, may have important implications on the estimated
lifetime of UCHII regions.
","[{""version"":""v1"",""created"":""Sun, 23 May 1999 15:58:53 GMT""}]","2009-10-31"
"cond-mat/9905318","Giorgio Parisi","Giorgio Parisi","A pedagogical introduction to the replica method for fragile glasses","7 pages, 1 figure Talk given at Andalo, March 1999; minor errors have
  been corrected",,"10.1080/13642819908223060",,"cond-mat.soft cond-mat.dis-nn",,"  In this note I present a simplified version of the recent computation (Mezard
and Parisi 1998, 1999) of the properties of glasses in the low temperature
phase in the framework of the replica theory, using an extension of the tools
used in liquid theory. I will only consider here the case of the internal
energy at T=0, which can be studied in a simple way without introducing
replicas.
","[{""version"":""v1"",""created"":""Sun, 23 May 1999 08:14:02 GMT""},{""version"":""v2"",""created"":""Mon, 24 May 1999 17:46:35 GMT""}]","2017-02-08"
"hep-ex/9905041","Emil Frlez","E. Frlez (1), I. Supek (2), K. A. Assamagan (1 and 3), Ch. Br""onnimann
  (4), Th. Fl""ugel (4 and 5), B. Krause (4 and 6), D. W. Lawrence (7 and 8), D.
  Mzavia (9), D. Pocanic (1), D. Renker (4), S. Ritt (1 and 4), P. L. Slocum (1
  and 10), N. Soic (2) ((1) Univ. of Virginia, (2) Inst. Rudjer Boskovic, (3)
  Hampton Univ., (4) Paul Scherrer Inst., (5) ETH Z""urich, (6) DESY Hamburg,
  (7) Arizona State Univ., (8) Univ. of Mass.-Amherst, (9) Tbilisi State Univ.,
  (10) Jet Propulsion Lab.)","Cosmic muon tomography of pure cesium iodide calorimeter crystals","Elsevier LaTeX, 63 pages in e-print format, 25 PostScript Figures and
  4 Tables, also available via anonymous ftp at
  ftp://helena.phys.virginia.edu/pub/preprints/tomo1.ps","Nucl.Instrum.Meth. A440 (2000) 57-85","10.1016/S0168-9002(99)00886-4",,"hep-ex",,"  Scintillation properties of pure CsI crystals used in the shower calorimeter
being built for precise determination of the pi+ -> pi0 e+ nu decay rate are
reported. Seventy-four individual crystals, polished and wrapped in Teflon
foil, were examined in a multiwire drift chamber system specially designed for
transmission cosmic muon tomography. Critical elements of the apparatus and
reconstruction algorithms enabling measurement of spatial detector optical
nonuniformities are described. Results are compared with a Monte Carlo
simulation of the light response of an ideal detector. The deduced optical
nonuniformity contributions to the FWHM energy resolution of the PIBETA CsI
calorimeter for the pi+ -> e+ nu 69.8 MeV positrons and the monoenergetic 70.8
MeV photons were 2.7% and 3.7%, respectively. The upper limit of optical
nonuniformity correction to the 69.8 MeV positron low-energy tail between 5 MeV
and 55 MeV was +0.2%, as opposed to the +0.3% tail contribution for the photon
of the equivalent total energy. Imposing the 5 MeV calorimeter veto cut to
suppress the electromagnetic losses, GEANT-evaluated positron and photon
lineshape tail fractions summed over all above-threshold ADCs were found to be
2.36+-0.05(stat)+-0.20(sys)% and 4.68+-0.07(stat)+-0.20(sys)%, respectively.
","[{""version"":""v1"",""created"":""Sat, 22 May 1999 20:25:15 GMT""}]","2009-10-31"
"hep-ph/9905452","B. F. L. Ward","S. Jadach (1 and 2), B.F.L. Ward (3 and 4) and Z. Was (1 and 2) ((1)
  CERN, Theory Division, Geneva, Switzerland, (2) Institute of Nuclear Physics,
  Krakow, Poland, (3) Department of Physics and Astronomy, The University of
  Tennessee, Knoxville, TN, USA, (4) SLAC, Stanford University, Stanford, CA,
  USA)","Global Positioning of Spin GPS Scheme for Half-Spin Massive Spinors","13 pages, 1 eps figure","Eur.Phys.J.C22:423-430,2001","10.1007/s100520100818","CERN-TH-98-235, UTHEP-98-0701","hep-ph",,"  We present a simple and flexible method of keeping track of the complex
phases and spin quantization axes for half-spin initial- and final-state Weyl
spinors in scattering amplitudes of Standard Model high energy physics
processes. Both cases of massless and massive spinors are discussed. The method
is demonstrated and checked numerically for spin correlations in tau tau-bar
production and decay. Its main application will be in the forthcoming work of
combining effects due to multiple photon emission (exponentiation) and spin,
embodied in the Monte Carlo event generators for production and decay of
unstable fermions such as the tau lepton, t-quark and hypothetical new heavy
particles.
","[{""version"":""v1"",""created"":""Sat, 22 May 1999 20:49:48 GMT""}]","2011-09-13"
"hep-ph/9905453","B. F. L. Ward","S. Jadach (1 and 2), B.F.L. Ward (3 and 4) and Z. Was (1 and 2) ((1)
  CERN, Theory Division, Geneva, Switzerland, (2) Institute of Nuclear Physics,
  Krakow, Poland, (3) Department of Physics and Astronomy, The University of
  Tennessee, Knoxville, TN, (4) SLAC, Stanford University, Stanford, CA)","Coherent Exclusive Exponentiation CEEX: the Case of the Resonant e+ e-
  Collision","14 pages","Phys.Lett. B449 (1999) 97-108","10.1016/S0370-2693(99)00038-6","CERN-TH-98-253, UTHEP-98-0801","hep-ph",,"  We present the first-order coherent exclusive exponentiation (CEEX) scheme,
with the full control over spin polarization for all fermions. In particular it
is applicable to difficult case of narrow resonances. The resulting spin
amplitudes and the differential distributions are given in a form ready for
their implementation in the Monte Carlo event generator. The initial-final
state interferences are under control. The way is open to the use of the exact
amplitudes for two and more hard photons, using Weyl-spinor techniques, without
giving up the advantages of the exclusive exponentiation, of the
Yennie-Frautschi-Suura type.
","[{""version"":""v1"",""created"":""Sun, 23 May 1999 09:57:51 GMT""}]","2009-10-31"
"hep-ph/9905456","Dey Jishnu","Jishnu Dey, Mira Dey, P. Leal Ferreira and Lauro Tomio","Non-linear Regge spectrum fits to experimentally up-dated meson states","2 latex pages, no figures",,,,"hep-ph",,"  The exciting feature of recent times is the inflow of new experimental data.
Fits to the $\pi, \r$ and f meson resonances found by the VES collaboration,
along with those of the PDG 1998 compilation are reported using a non-linear
model for Regge trajectories. There are only five parameters including the pion
mass and the states come out as Regge -type excitations of the pion. Total
number of mesons fitted are 23 and the fit is good to $\sim$ 3% for 18 of them
and $\sim$ 9% for others.
","[{""version"":""v1"",""created"":""Sun, 23 May 1999 14:27:24 GMT""}]","2007-05-23"
"hep-ph/9905457","Ray Subharthi","Jishnu Dey, Siddhartha Bhowmik, Kanad Ray and Subharthi Ray","Limiting temperature of hadrons using states predicted from
  kappa-deformed Poincar\'e algebra","7 Latex pages including two figures","Indian J.Phys. 73B (1999) 409-415",,,"hep-ph",,"  The experimental hadronic density of states dN/dm, assumed to be a sum of
normalized Breit- Wigner distributions and plotted as a function of the hadron
mass m, fails to show a Hagedorn like growth beyond 2 GeV, probably due to a
lack of data. Experimental hadronic states are fitted using $\ka$ -deformed
Poincar\'e algebra and the fit is used to extrapolate for including states not
detected. For the theoretical density of states the plot is a straight line in
the log scale even beyond 2 GeV with a limiting temperature of 400 MeV.
","[{""version"":""v1"",""created"":""Sun, 23 May 1999 14:49:35 GMT""}]","2007-05-23"
