"astro-ph/9910420","T. Joseph W. Lazio","Namir E. Kassim and T. Joseph W. Lazio (Naval Research Laboratory)","Upper Limits on the Continuum Emission from Geminga at 74 and 326 MHz","8 pages, LaTeX2e with AASTeX 4.0, 3 figures; to be published in ApJ",,"10.1086/312406",,"astro-ph",,"  We report a search for radio continuum emission from the gamma-ray pulsar
Geminga. We have used the VLA to image the location of the optical counterpart
of Geminga at 74 and 326 MHz. We detect no radio counterpart. We derive upper
limits to the pulse-averaged flux density of Geminga, taking diffractive
scintillation into account. We find that diffractive scintillation is probably
quenched at 74 MHz and does not influence our upper limit, S < 56 mJy
(2\sigma), but that a 95% confidence level at 326 MHz is S < 5 mJy. Owing to
uncertainties on the other low-frequency detections and the possibility of
intrinsic variability or extrinsic variability (refractive interstellar
scintillation) or both, our non-detections are nominally consistent with these
previous detections.
","[{""version"":""v1"",""created"":""Fri, 22 Oct 1999 16:10:34 GMT""}]","2009-10-31"
"astro-ph/9910421","Duncan Forbes","Duncan A. Forbes (University of Birmingham) and G. K. T. Hau (P.
  Universidad Catolica)","Imaging of the Merging Galaxy NGC 3597 and its Population of
  Proto--Globular Clusters","19 pages, Latex, 10 figures, 4 tables, accepted by MNRAS",,"10.1046/j.1365-8711.2000.03175.x",,"astro-ph",,"  We present wide field-of-view near-infrared imaging from the NTT and very
deep optical imaging from the HST of the young merging galaxy NGC 3597. The
morphology of the galaxy and the properties of the newly formed proto-globular
clusters (PGCs) are examined. Our K band data reveals the presence of a second
nucleus, which provides further evidence that NGC 3597 is the result of a
recent merger. Combining new K band photometry with optical photometry, we are
able for the first time to derive a unique age for the newly formed PGCs of a
few Myrs. This is consistent with the galaxy starburst age of < 10 Myrs. From
deep HST imaging, we are able to probe the luminosity function ~8 magnitudes
fainter than normal, old globular clusters, and confirm that the PGCs have a
power-law distribution with a slope of ~-2.
","[{""version"":""v1"",""created"":""Fri, 22 Oct 1999 16:16:00 GMT""}]","2009-10-31"
"astro-ph/9910422","Chris J. Willott","Chris J. Willott, Steve Rawlings, Matt J. Jarvis","The hyperluminous infrared quasar 3C 318 and its implications for
  interpreting sub-mm detections of high-redshift radio galaxies","11 pages, 7 figures, to be published in MNRAS",,"10.1046/j.1365-8711.2000.03267.x",,"astro-ph",,"  We present near-infrared spectroscopy and imaging of the compact steep-
spectrum radio source 3C 318 which shows it to be a quasar at redshift z=1.574
(the z=0.752 value previously reported is incorrect). 3C 318 is an IRAS, ISO
and SCUBA source so its new redshift makes it the most intrinsically luminous
far-infrared (FIR) source in the 3C catalogue (there is no evidence of strong
gravitational lensing effects). Its bolometric luminosity greatly exceeds the
10^13 solar luminosity level above which an object is said to be hyperluminous.
Its spectral energy distribution (SED) requires that the quasar heats the dust
responsible for the FIR flux, as is believed to be the case in other
hyperluminous galaxies, and contributes (at the >10% level) to the heating of
the dust responsible for the sub-mm emission. We cannot determine whether a
starburst makes an important contribution to the heating of the coolest dust,
so evidence for a high star-formation rate (SFR) is circumstantial being based
on the high dust mass required by its sub-mm detection. We show that the
current sub-mm and FIR data available for high-z radio galaxies are consistent
with SEDs similar to that of 3C 318. This indicates that at least some of this
population may be detected in the sub-mm because of dust heated by the quasar
nucleus, and that interpreting sub-mm detection as evidence for very high SFRs
may not always be valid. We show that the 3C318 quasar is slightly reddened
(A(V) ~ 0.5), the most likely cause of which is SMC-type dust in the host
galaxy. If very distant radio galaxies are reddened in a similar way then we
show that only slightly greater amounts of dust could obscure the quasars in
these sources, thus explaining the low fraction of quasars amongst the very
high redshift (z > 3) objects in low-frequency radio-selected samples.
","[{""version"":""v1"",""created"":""Fri, 22 Oct 1999 16:55:57 GMT""}]","2009-10-31"
"astro-ph/9910423","Revnivtsev Mikhail","M. Revnivtsev (1,2), M. Gilfanov (2,1), E. Churazov (2,1)((1) Space
  Research Institute, Moscow, Russia, (2) MPA, Garching bei Muenchen, Germany)","Reflection and noise in the low spectral state of GX339-4","4 pages, 4 figures. Accepted in Astronomy and Astrophysics Main
  Journal",,"10.1051/0004-6361:20011413",,"astro-ph",,"  We analyze RXTE/PCA observations of GX339-4 in the low spectral state from
1996--1997 and show that the pattern of its spectral and temporal variability
is nearly identical to that of Cyg X-1. In particular, a tight correlation
exists between the QPO centroid frequency and the spectral parameters. An
increase of the QPO centroid frequency is accompanied with an increase of the
amplitude of the reflected component and a steepening the slope of the
underlying power law. Fourier frequency resolved spectral analysis showed, that
the variability of the reflected component at frequencies higher than ~1-10 Hz
is suppressed in comparison with that of the primary emission.
","[{""version"":""v1"",""created"":""Fri, 22 Oct 1999 17:49:05 GMT""},{""version"":""v2"",""created"":""Tue, 23 Oct 2001 12:03:31 GMT""}]","2015-06-24"
"astro-ph/9910424","Ferenc Varadi","F. Varadi, R. K. Ulrich, L. Bertello, C. J. Henney (UCLA)","Random Lag Singular Cross-Spectrum Analysis","8 pages + 1 figure (eps), Macro: AASTex",,"10.1086/312419",,"astro-ph",,"  In a previous paper (Varadi et al., 1999), Random Lag Singular Spectrum
Analysis was offered as a tool to find oscillations in very noisy and long time
series. This work presents a generalization of the technique to search for
common oscillations in two or more time series.
","[{""version"":""v1"",""created"":""Fri, 22 Oct 1999 17:51:52 GMT""}]","2009-10-31"
"astro-ph/9910425","Eric M. Schlegel","Eric M. Schlegel (Harvard-Smithsonian Center for Astrophysics)","X-ray Detection of SN1994W in NGC 4041?","5 pages, 1 figure; accepted by ApJ(Letters); 20 Dec issue?",,"10.1086/312408",,"astro-ph",,"  Optical spectra of SN1994W in NGC 4041 revealed the presence of a dense (N_e
> 10^8 cm^-3) circumstellar shell. An observation with the ROSAT HRI detected a
source, with a 0.2-2.4 keV luminosity of ~8x10^39 erg/sec, coincident with the
position of SN1994W to within 1''.4. The positional coincidence plus the
optical evidence for a dense circumstellar shell support the identification of
the X-ray source as SN1994W.
","[{""version"":""v1"",""created"":""Fri, 22 Oct 1999 18:25:34 GMT""}]","2009-10-31"
"astro-ph/9910426","Eva K. Grebel","Eva K. Grebel (1) and You-Hua Chu (2) ((1) University of Washington,
  (2) University of Illinois)","Hubble Space Telescope Photometry of Hodge 301: An ""Old"" Star Cluster in
  30 Doradus","To appear in the Astronomical Journal (Feb 2000 issue). 16 pages in
  two-column style. 9 separate figures, in part in significantly reduced
  resolution for space reasons (bitmapped postscript or jpg)","2000, AJ, 119, 787-799","10.1086/301218",,"astro-ph",,"  We present Hubble Space Telescope Planetary Camera UVI data for the
little-studied cluster Hodge 301 3' northwest of 30 Doradus' central ionizing
cluster R136. The average reddening of Hodge 301 is found to be <E(B-V)> =
(0.28+-0.05) mag from published infrared and ultraviolet photometry. Using two
different sets of evolutionary models, we derive an age of ~ 20-25 Myr for
Hodge 301, which makes it roughly 10 times as old as R136. Hodge 301 is the
most prominent representative of the oldest population in the 30 Dor starburst
region; a region that has undergone multiple star formation events. This range
of ages is an important consideration for the modelling of starburst regions.
Hodge 301 shows a widened upper main sequence largely caused by Be stars. We
present a list of Be star candidates. The slope of the initial mass function
for intermediate-mass main sequence stars ranging from 10 to 1.3 solar masses
is found to be -1.4+-0.1 in good agreement with a Salpeter law. There is no
indication for a truncation or change of slope of the IMF within this mass
range. In accordance with the age of Hodge 301 no obvious pre-main-sequence
stars are seen down to 1 solar mass. We estimate that up to 41+-7 stars with
more than 12 solar masses may have turned into supernovae since the formation
of the cluster. Multiple supernova explosions are the most likely origin of the
extremely violent gas motions and the diffuse X-ray emission observed in the
cluster surroundings.
","[{""version"":""v1"",""created"":""Fri, 22 Oct 1999 19:10:10 GMT""}]","2009-10-31"
"astro-ph/9910427","J. M. Wrobel","J. M. Wrobel","Photometric Variability and Astrometric Stability of the Radio Continuum
  Nucleus in the Seyfert Galaxy NGC 5548","with 9 figures, to appear in the Astrophysical Journal, 2000 March
  10, volume 531",,"10.1086/308519",,"astro-ph",,"  The NRAO VLA and VLBA were used from 1988 November to 1998 June to monitor
the radio continuum counterpart to the optical broad line region (BLR) in the
Seyfert galaxy NGC 5548. Photometric and astrometric observations were obtained
at 21 epochs. The radio nucleus appeared resolved, so comparisons were limited
to observations spanning 10-60 days and 3-4 yr, and acquired at matched
resolutions of 1210 mas = 640 pc (9 VLA observations), 500 mas = 260 pc (9 VLA
observations), or 2.3 mas = 1.2 pc (3 VLBA observations). The nucleus is
photometrically variable at 8.4 GHz by $33\pm5$% and $52\pm5$% between VLA
observations separated by 41 days and 4.1 yr, respectively. The 41-day changes
are milder ($19\pm5$%) at 4.9 GHz and exhibit an inverted spectrum ($\alpha
\sim +0.3\pm0.1$, $S\propto \nu ^{+\alpha}$) from 4.9 to 8.4 GHz. The nucleus
is astrometrically stable at 8.4 GHz, to an accuracy of 28 mas = 15 pc between
VLA observations separated by 4.1 yr and to an accuracy of 1.8 mas = 0.95 pc
between VLBA observations separated by 3.1 yr. Such photometric variability and
astrometric stability is consistent with a black hole being the ultimate energy
source for the BLR, but is problematic for star cluster models that treat the
BLR as a compact supernova remnant and, for NGC 5548, require a new supernova
event every 1.7 yr within an effective radius $r_e =$ 42 mas = 22 pc. A deep
image at 8.4 GHz with resolution 660 mas = 350 pc was obtained by adding data
from quiescent VLA observations. This image shows faint bipolar lobes
straddling the radio nucleus and spanning 12 arcsec = 6.4 kpc. These
synchrotron-emitting lobes could be driven by twin jets or a bipolar wind from
the Seyfert 1 nucleus.
","[{""version"":""v1"",""created"":""Fri, 22 Oct 1999 19:38:18 GMT""}]","2009-10-31"
"astro-ph/9910428","Douglas Scott","Douglas Scott, Guilaine Lagache, Colin Borys, Scott C. Chapman, Mark
  Halpern, Anna Sajina, Paolo Ciliegi, David L. Clements, Herve Dole, Sebastian
  Oliver, Jean-Loup Puget, William T. Reach and Michael Rowan-Robinson","First detections of FIRBACK sources with SCUBA","4 pages, including 1 figure, uses aa.cls, to appear in Astronomy &
  Astrophysics Letters, slight changes to some numbers and to match published
  version",,,"UBC-COS-99-04","astro-ph",,"  The FIRBACK (Far InfraRed BACKground) survey represents the deepest extensive
170 micron images obtained by the ISO satellite. The sources detected comprise
about 10% of the Cosmic IR Background (CIB) seen by COBE, and, importantly,
were observed at a wavelength near the peak of the CIB. Detailed follow-up of
these sources should help pin down the redshifts, Hubble types, and other
properties of the galaxies which constitute this background. We have used the
Submillimetre Common-User Bolometer Array (SCUBA) instrument on the James Clerk
Maxwell Telescope (JCMT) to search for sub-mm emission from a sample of 10
galaxies which are bright at 170 microns and for which we had accurate radio
positions. Statistically we detect this sample at both 450 microns (~4 sigma)
and 850 microns (~ 7 sigma); individual objects are convincingly detected in
four cases at 850 microns, and one case at 450 microns. Fits to simple spectral
energy distributions suggest a range of low to moderate redshifts, perhaps z=0
to 1.5 for this FIRBACK sub-sample.
","[{""version"":""v1"",""created"":""Fri, 22 Oct 1999 20:07:51 GMT""},{""version"":""v2"",""created"":""Thu, 16 Mar 2000 04:33:16 GMT""}]","2007-05-23"
"astro-ph/9910429","Priscilla Chapman Frisch","P. C. Frisch","The galactic environment of the Sun","30 pages, 2 figures, JGR-Space Physics, in press",,"10.1511/2000.1.52",,"astro-ph",,"  The interstellar cloud surrounding the solar system regulates the galactic
environment of the Sun and constrains the physical characteristics of the
interplanetary medium. This paper compares interstellar dust grain properties
observed within the solar system with dust properties inferred from
observations of the cloud surrounding the solar system. Properties of diffuse
clouds in the solar vicinity are discussed to gain insight into the properties
of the diffuse cloud complex flowing past the Sun. Evidence is presented for
changes in the galactic environment of the Sun within the next 10$^4$--10$^6$
years. The combined history of changes in the interstellar environment of the
Sun, and solar activity cycles, will be recorded in the variability of the
ratio of large- to medium-sized interstellar dust grains deposited onto
geologically inert surfaces. Combining data from lunar core samples in the
inner and outer solar system will assist in disentangling these two effects.
","[{""version"":""v1"",""created"":""Fri, 22 Oct 1999 20:44:46 GMT""}]","2009-10-31"
